iter	Passed	Remaining
806	17102	4090
807	17117	4067
808	17130	4044
809	17146	4022
810	17160	3999
811	17176	3976
812	17190	3954
813	17203	3930
814	17217	3908
815	17232	3885
816	17250	3864
817	17267	3841
818	17288	3820
819	17309	3799
820	17327	3777
821	17353	3757
822	17366	3734
823	17380	3712
824	17394	3689
825	17410	3667
826	17424	3644
827	17439	3622
828	17452	3599
829	17466	3577
830	17477	3554
831	17491	3532
832	17507	3509
833	17521	3487
834	17536	3465
835	17554	3443
836	17573	3422
837	17592	3400
838	17609	3379
839	17622	3356
840	17638	3334
841	17651	3312
842	17665	3289
843	17677	3267
844	17689	3244
845	17703	3222
846	17717	3200
847	17731	3178
848	17744	3155
849	17757	3133
850	17772	3111
851	17786	3089
852	17805	3068
853	17819	3046
854	17837	3025
855	17851	3003
856	17869	2981
857	17883	2959
858	17901	2938
859	17919	2917
860	17937	2895
861	17952	2874
862	17970	2852
863	17984	2830
864	18001	2809
865	18015	2787
866	18036	2766
867	18049	2744
868	18066	2723
869	18081	2701
870	18098	2680
871	18115	2659
872	18131	2637
873	18145	2615
874	18160	2594
875	18178	2573
876	18197	2552
877	18213	2530
878	18232	2509
879	18247	2488
880	18264	2467
881	18288	2446
882	18307	2425
883	18324	2404
884	18343	2383
885	18363	2362
886	18378	2341
887	18399	2320
888	18415	2299
889	18436	2278
890	18453	2257
891	18473	2236
892	18492	2215
893	18510	2194
894	18529	2173
895	18556	2153
896	18570	2132
897	18588	2111
898	18604	2090
899	18623	2069
900	18638	2047
901	18655	2026
902	18669	2005
903	18686	1984
904	18701	1963
905	18718	1942
906	18732	1920
907	18742	1899
908	18757	1877
909	18775	1856
910	18792	1835
911	18806	1814
912	18822	1793
913	18850	1773
914	18864	1752
915	18884	1731
916	18899	1710
917	18914	1689
918	18930	1668
919	18947	1647
920	18968	1627
921	18985	1606
922	19006	1585
923	19026	1564
924	19038	1543
925	19054	1522
926	19070	1501
927	19088	1480
928	19106	1460
929	19128	1439
930	19150	1419
931	19169	1398
932	19185	1377
933	19199	1356
934	19219	1336
935	19235	1315
936	19251	1294
937	19272	1273
938	19291	1253
939	19311	1232
940	19327	1211
941	19345	1191
942	19361	1170
943	19377	1149
944	19393	1128
945	19415	1108
946	19430	1087
947	19447	1066
948	19462	1045
949	19480	1025
950	19494	1004
951	19511	983
952	19531	963
953	19549	942
954	19561	921
955	19577	901
956	19591	880
957	19608	859
958	19621	838
959	19637	818
960	19652	797
961	19669	776
962	19684	756
963	19700	735
964	19719	715
965	19735	694
966	19748	673
967	19760	653
968	19775	632
969	19791	612
970	19807	591
971	19821	570
972	19837	550
973	19851	529
974	19867	509
975	19882	488
976	19898	468
977	19912	447
978	19924	427
979	19940	406
980	19954	386
981	19969	366
982	19983	345
983	19998	325
984	20011	304
985	20023	284
986	20038	263
987	20053	243
988	20071	223
989	20092	202
990	20114	182
991	20129	162
992	20145	142
993	20159	121
994	20173	101
995	20187	81
996	20206	60
997	20220	40
998	20239	20
999	20252	0
